sample_id	time	replicate	genotype	mean_fluorescence	normalized_substraction_mean_fluorescence
1	1	1	WTC11	7036.638	0
2	2	1	WTC11	7004.717	-31.921
3	3	1	WTC11	7014.37	-22.268
4	4	1	WTC11	7013.933	-22.705
5	5	1	WTC11	7007.494	-29.144
6	6	1	WTC11	6936.161	-100.477
7	7	1	WTC11	6995.174	-41.464
8	8	1	WTC11	6949.025	-87.613
9	9	1	WTC11	6981.729	-54.909
10	10	1	WTC11	6925.226	-111.412
11	11	1	WTC11	6919.828	-116.81
12	12	1	WTC11	6909.96	-126.678
13	13	1	WTC11	6872.631	-164.007
14	14	1	WTC11	6903.644	-132.994
15	15	1	WTC11	6939.055	-97.583
16	16	1	WTC11	6938.803	-97.835
17	17	1	WTC11	6918.93	-117.708
18	18	1	WTC11	6895.611	-141.027
19	19	1	WTC11	6928.792	-107.846
20	20	1	WTC11	6905.757	-130.881
21	21	1	WTC11	6916.033	-120.605
22	22	1	WTC11	6856.529	-180.109
23	23	1	WTC11	6838.833	-197.805
24	24	1	WTC11	6907.815	-128.823
25	25	1	WTC11	6876.722	-159.916
26	26	1	WTC11	6845.788	-190.85
27	27	1	WTC11	6922.657	-113.981
28	28	1	WTC11	6868.922	-167.716
29	29	1	WTC11	6803.047	-233.591
30	30	1	WTC11	6929.529	-107.109
31	31	1	WTC11	6886.712	-149.926
32	32	1	WTC11	6939.352	-97.286
33	33	1	WTC11	6885.601	-151.037
34	34	1	WTC11	6872.264	-164.374
35	35	1	WTC11	6816.296	-220.342
36	36	1	WTC11	6815.808	-220.83
37	37	1	WTC11	6978.605	-58.033
38	38	1	WTC11	6990.92	-45.718
39	39	1	WTC11	6910.122	-126.516
40	40	1	WTC11	6922.844	-113.794
41	41	1	WTC11	6842.267	-194.371
42	42	1	WTC11	6932.499	-104.139
43	43	1	WTC11	6800.562	-236.076
44	44	1	WTC11	6803.382	-233.256
45	45	1	WTC11	6949.189	-87.449
46	46	1	WTC11	6962.844	-73.794
47	47	1	WTC11	6910.008	-126.63
48	48	1	WTC11	6906.148	-130.49
